partner,time,phase,hr,rsa,ibi,rrate,ramp,b.hr,b.rsa,b.ibi,b.rrate,b.ramp
male,11,baseline,92.118731,6.04442,651.333333,17.84253,0.000204,71.059432,3.852414,844.363636,18.06403,0.00431
male,12,baseline,91.893666,6.012191,652.928571,12.331315,0.000091,68.368277,4.633546,877.6,16.188524,0.004045
male,13,baseline,90.449015,6.154648,663.357143,14.822419,0.000276,67.388197,4.660973,890.363636,13.756042,0.002627
male,14,baseline,92.497431,6.664029,648.666667,12.737187,0.000245,70.389489,3.574613,852.4,17.360046,0.000794
male,15,baseline,89.193825,3.601378,672.692308,11.228684,0.000305,71.934605,3.572642,834.090909,15.723959,0.00246
male,16,baseline,93.08098,5.236113,644.6,15.832471,0.000842,70.785071,6.281194,847.636364,15.207693,0.002701
male,17,baseline,88.281661,5.969839,679.642857,17.003584,0.000068,77.311285,5.509438,776.083333,13.973287,0.01046
male,18,baseline,87.189805,5.865907,688.153846,13.91487,0.000484,70.063694,5.35053,856.363636,16.327832,0.00352
male,19,baseline,94.936709,4.445594,632,16.966193,0.001183,65.674256,5.176618,913.6,17.029069,0.000154
male,20,baseline,90.254647,2.769871,664.785714,16.50288,0.000329,69.060773,6.430735,868.8,11.414277,0.005807
male,21,baseline,93.68169,4.471754,640.466667,13.868814,0.000065,67.370312,6.019165,890.6,11.841469,0.007759
male,22,baseline,101.362053,3.43847,591.9375,17.464198,0.000426,65.695828,5.469122,913.3,11.69641,0.001224
male,23,baseline,93.632959,6.203644,640.8,14.416036,0.000155,64.857853,5.572327,925.1,13.737301,0.001119
male,24,baseline,86.821015,3.833145,691.076923,15.207749,0.000193,66.763102,3.004166,898.7,10.514281,0.000632
male,25,baseline,88.514226,5.166503,677.857143,15.732852,0.000405,70.588235,5.370505,850,14.445039,0.002889
male,26,baseline,90.167454,5.906744,665.428571,16.20358,0.000272,68.197318,5.942467,879.8,14.958098,0.000818
male,27,baseline,84.342561,6.605539,711.384615,16.340594,0.000059,68.764326,6.438385,872.545455,13.383077,0.005524
male,28,baseline,87.774295,5.395892,683.571429,14.283631,0.000205,68.438462,5.434953,876.7,17.18909,0.002098
male,29,baseline,88.263108,5.260726,679.785714,15.383434,0.000418,65.196132,5.835865,920.3,15.820983,0.000489
male,30,baseline,87.228808,4.988947,687.846154,15.485123,0.000078,69.944892,5.245518,857.818182,15.302724,0.001243
male,31,goal,85.565855,8.098212,701.214286,8.536496,0.000236,65.775049,5.828153,912.2,20.378784,0.002244
male,32,goal,89.533149,6.960863,670.142857,15.768571,0.000101,68.60279,5.535553,874.6,13.018538,0.00292
male,33,goal,84.819487,3.335397,707.384615,18.1484,0.00003,69.015999,6.442474,869.363636,15.721768,0.005419
male,34,goal,86.859688,4.86166,690.769231,22.150222,0.000128,63.634221,5.358678,942.888889,10.044199,0.002057
male,35,goal,86.003891,7.495751,697.642857,12.868986,0.000416,65.919578,5.419458,910.2,15.046939,0.000428
male,36,goal,84.078905,7.283488,713.615385,16.42848,0.000389,65.739016,6.410374,912.7,14.110995,0.001734
male,37,goal,84.534518,5.058474,709.769231,16.776928,0.000022,67.896345,4.371626,883.7,19.284883,0.00094
male,38,goal,86.187845,6.854953,696.153846,17.189829,0.000044,73.454397,7.064169,816.833333,14.86041,0.000898
male,39,goal,94.567616,6.466484,634.466667,15.939549,0.000162,71.903257,5.660485,834.454545,14.883142,0.002218
male,40,goal,93.572463,4.934229,641.214286,18.500853,0.000309,73.073516,4.847691,821.090909,13.875041,0.001324
male,41,goal,91.166937,5.449435,658.133333,18.203488,0.000241,69.974555,5.370418,857.454545,17.310042,0.076375
male,42,goal,87.063288,6.696511,689.153846,16.479507,0.000097,68.994355,6.347049,869.636364,18.365708,0.000154
male,43,goal,88.216761,6.214964,680.142857,13.990857,0.000421,66.90455,6.186661,896.8,16.72585,0.001633
male,44,goal,82.107424,4.579171,730.75,16.519024,0.00015,63.633471,6.95883,942.9,18.452744,0.000467
male,45,goal,84.060782,4.163384,713.769231,16.060075,0.000166,74.107343,5.81014,809.636364,18.989559,0.016677
male,46,goal,89.447343,5.968857,670.785714,15.620708,0.003757,79.654829,5.046212,753.25,16.765834,0.005628
male,47,goal,89.314195,6.937974,671.785714,15.111875,0.00008,67.009158,6.193462,895.4,17.177814,0.002432
male,48,goal,84.580351,5.87218,709.384615,14.743773,0.000278,65.224481,5.616966,919.9,17.922665,0.006385
male,49,goal,85.004359,5.522812,705.846154,12.467659,0.000902,68.393782,5.188312,877.272727,17.088344,0.006405
male,50,goal,92.222564,6.739329,650.6,14.416799,0.000877,72.439908,4.941587,828.272727,13.770604,0.009789
male,51,goal,88.411746,6.575528,678.642857,14.199276,0.001294,70.472163,4.565311,851.4,17.19875,0.002466
male,52,goal,88.476933,5.73209,678.142857,11.49184,0.000064,69.679054,5.07375,861.090909,18.583323,0.001336
male,53,goal,85.264539,6.997772,703.692308,14.472079,0.000098,71.12069,4.592635,843.636364,18.755305,0.000897
male,54,goal,90.497738,5.51531,663,11.450771,0.000053,71.436303,4.834292,839.909091,19.460387,0.000645
male,55,goal,90.968161,4.506644,659.571429,19.786438,0.000037,70.535428,3.715637,850.636364,18.668192,0.000801
male,56,goal,87.372582,5.128839,686.714286,16.545742,0.000012,71.284306,4.269191,841.7,13.173665,0.003891
male,57,goal,90.017311,3.055836,666.538462,19.668737,0.000017,73.60458,4.943884,815.166667,15.179015,0.001459
male,58,goal,89.638246,3.754175,669.357143,21.360966,0.000066,73.94958,4.636202,811.363636,17.556098,0.003082
male,59,goal,90.080429,5.845402,666.071429,14.396209,0.000021,74.215675,4.575412,808.454545,16.496968,0.0016
male,60,goal,89.428298,3.973377,670.928571,10.385941,0.000018,72.260136,5.077904,830.333333,17.700867,0.004984
male,61,femalereceive,91.393755,5.762434,656.5,13.282976,0.000019,72.775389,6.09349,824.454545,12.681579,0.014747
male,62,femalereceive,93.562041,5.437693,641.285714,13.787881,0.000074,71.575751,6.890486,838.272727,16.667943,0.001659
male,63,femalereceive,93.148416,6.260843,644.133333,18.022639,0.00008,71.746929,7.504804,836.272727,18.976442,0.001755
male,64,femalereceive,93.41637,5.139237,642.285714,16.191238,0.000044,69.204152,5.820345,867,12.455057,0.000796
male,65,femalereceive,93.380369,6.52834,642.533333,14.616041,0.000024,71.166703,6.536595,843.090909,16.080725,0.004541
male,66,femalereceive,94.508033,4.075562,634.866667,17.357018,0.000092,74.057451,6.324887,810.181818,15.36885,0.001425
male,67,femalereceive,92.145678,3.847656,651.142857,16.385401,0.00003,75.805433,5.486903,791.5,18.278251,0.001691
male,68,femalereceive,96.525097,4.54801,621.6,19.050041,0.000131,74.859638,6.444699,801.5,18.146353,0.00219
male,69,femalereceive,98.724805,4.864489,607.75,20.140908,0.000499,76.619457,6.772484,783.090909,12.524336,0.010778
male,70,femalereceive,92.756184,6.236981,646.857143,15.612865,0.000616,68.125516,7.070484,880.727273,10.955248,0.001089
male,71,femalereceive,91.783217,6.446883,653.714286,16.354483,0.000779,67.804272,6.064954,884.9,14.591746,0.004386
male,72,femalereceive,94.339623,4.220718,636,14.317706,0.000234,64.66214,5.901566,927.9,14.493382,0.000782
male,73,femalereceive,87.336245,6.869908,687,15.324069,0.00052,61.933708,6.080284,968.777778,10.646399,0.00217
male,74,femalereceive,93.447547,5.225637,642.071429,17.374516,0.000186,64.773831,6.32041,926.3,17.583036,0.000975
male,75,femalereceive,89.37121,6.70489,671.357143,15.929673,0.000073,66.408412,6.80726,903.5,15.884258,0.002624
male,76,femalereceive,92.908021,6.046769,645.8,14.703768,0.000151,67.704807,6.785622,886.2,16.14006,0.001045
male,77,femalereceive,84.810264,7.242296,707.461538,17.178143,0.000713,71.583514,6.081076,838.181818,14.779581,0.001127
male,78,femalereceive,86.168802,6.550112,696.307692,15.096192,0.000075,64.697002,6.209591,927.4,14.978712,0.001454
male,79,femalereceive,86.749974,6.166989,691.642857,19.061072,0.000168,65.984823,7.376542,909.3,12.101911,0.015234
male,80,femalereceive,87.424344,6.822435,686.307692,18.150836,0.000073,69.356144,6.462474,865.1,21.631186,0.000352
male,81,femalereceive,93.632959,6.005245,640.8,13.140129,0.000435,69.109948,7.03315,868.181818,16.885979,0.001614
male,82,femalereceive,91.205212,5.309677,657.857143,16.980337,0.000616,74.148972,5.734467,809.181818,13.816686,0.006734
male,83,femalereceive,89.030207,4.557643,673.928571,16.5193,0.000383,65.167807,6.347304,920.7,10.443291,0.002047
male,84,femalereceive,82.793759,7.261811,724.692308,14.368328,0.000201,64.530006,5.833306,929.8,14.227471,0.001018
male,85,femalereceive,89.714835,6.608469,668.785714,14.631661,0.002873,63.506998,6.249996,944.777778,14.317413,0.000664
male,86,femalereceive,95.429965,6.548483,628.733333,17.445631,0.000129,66.60746,5.085621,900.8,19.015727,0.003768
male,87,femalereceive,89.112304,4.981114,673.307692,15.12343,0.000156,69.407929,5.843869,864.454545,12.730704,0.000421
male,88,femalereceive,85.348506,7.845124,703,14.961734,0.000129,64.198588,5.712986,934.6,15.177023,0.00006
male,89,femalereceive,81.929904,6.909809,732.333333,14.569515,0.000014,61.707233,6.146677,972.333333,14.221658,0.00008
male,90,femalereceive,85.679315,8.044075,700.285714,14.186643,0.000021,62.140391,5.673981,965.555556,15.874587,0.000145
male,91,femaleprovide,93.46765,5.039546,641.933333,16.458154,0.000106,70.220236,6.058382,854.454545,19.305881,0.003125
male,92,femaleprovide,80.106809,5.541876,749,14.737085,0.000179,71.832825,5.897782,835.272727,17.043296,0.000928
male,93,femaleprovide,88.596093,6.72294,677.230769,15.320633,0.000735,72.320842,6.545695,829.636364,17.875523,0.00077
male,94,femaleprovide,87.173101,7.457337,688.285714,18.01474,0.000406,78.826363,6.44916,761.166667,15.295191,0.003386
male,95,femaleprovide,84.727352,7.484882,708.153846,18.655537,0.000435,68.712781,5.499082,873.2,17.145561,0.006859
male,96,femaleprovide,89.714835,3.933686,668.785714,14.225525,0.000788,63.492063,5.871452,945,16.100765,0.000145
male,97,femaleprovide,81.173899,5.333886,739.153846,18.111687,0.000144,63.544363,6.296412,944.222222,14.775393,0.001012
male,98,femaleprovide,82.261126,7.284162,729.384615,17.025331,0.000146,62.565172,5.571169,959,17.951479,0.000822
male,99,femaleprovide,86.782377,6.804329,691.384615,13.481269,0.000097,62.391681,6.381875,961.666667,17.048259,0.000648
male,100,femaleprovide,89.705254,5.58093,668.857143,17.67936,0.000315,65.082981,7.310193,921.9,15.212624,0.002028
male,101,femaleprovide,92.095165,5.498228,651.5,16.335544,0.000296,66.986714,5.846874,895.7,16.038264,0.003218
male,102,femaleprovide,85.733128,5.878027,699.846154,21.029427,0.000218,64.36387,5.46539,932.2,17.149887,0.002189
male,103,femaleprovide,87.372582,6.546709,686.714286,15.898202,0.000245,66.247102,6.015228,905.7,14.299365,0.00099
male,104,femaleprovide,86.859688,7.552302,690.769231,12.595934,0.000384,69.212135,6.109751,866.9,17.741459,0.002689
male,105,femaleprovide,87.664371,5.358885,684.428571,13.951086,0.000107,65.905097,6.048403,910.4,14.902146,0.00039
male,106,femaleprovide,88.300221,5.404767,679.5,15.42199,0.000316,66.801619,5.102264,898.181818,16.847578,0.005272
male,107,femaleprovide,89.173431,3.213556,672.846154,15.88981,0.00026,62.615955,5.826463,958.222222,17.656815,0.000425
male,108,femaleprovide,87.140217,6.884235,688.545455,20.486583,0.000527,61.127462,6.45497,981.555556,14.57478,0.001839
male,109,femaleprovide,96.691018,5.350583,620.533333,14.784929,0.001159,63.532402,7.017404,944.4,12.273389,0.000393
male,110,femaleprovide,87.737623,7.425259,683.857143,16.947233,0.000419,64.843834,7.291008,925.3,19.676921,0.00043
male,111,femaleprovide,89.143585,7.343001,673.071429,11.648968,0.00008,67.249496,6.14745,892.2,17.549173,0.00273
male,112,femaleprovide,84.562012,5.385846,709.538462,17.966836,0.000076,64.906967,4.098301,924.4,17.070786,0.000736
male,113,femaleprovide,86.187845,4.880866,696.153846,18.345927,0.000002,65.445026,6.801162,916.8,17.793841,0.000226
male,114,femaleprovide,90.07077,3.722988,666.142857,22.388575,0.000007,66.269052,6.583714,905.4,13.731178,0.002168
male,115,femaleprovide,92.630712,4.769978,647.733333,16.702829,0.000067,60.660526,5.773084,989.111111,17.08003,0.00032
male,116,femaleprovide,92.327984,3.880098,649.857143,16.520945,0.000185,71.700163,5.147105,836.818182,16.293584,0.07671
male,117,femaleprovide,84.497888,6.566048,710.076923,12.268134,0.000026,57.733943,6.376741,1039.25,9.503511,0.000188
male,118,femaleprovide,86.260012,6.603382,695.571429,14.397659,0.000812,64.536947,5.607666,929.7,14.441871,0.002221
